iteration,temps_border_ms,temps_move_ms,temps_migrate_ms,temps_evap_ms,food_quantity
132,0.011542,0.158625,0.130208,0.030584,0
133,0.011667,0.158250,0.128750,0.032250,0
134,0.012042,0.155584,0.127875,0.031792,0
135,0.020208,0.154834,0.125417,0.031584,0
136,0.021125,0.157375,0.134084,0.031000,0
137,0.011792,0.155625,0.125667,0.031459,0
138,0.011708,0.155083,0.126084,0.031916,0
139,0.012292,0.153625,0.124875,0.031416,0
140,0.011500,0.154791,0.125708,0.030875,0
141,0.012208,0.155667,0.127166,0.031000,0
142,0.011584,0.153000,0.124167,0.032041,0
143,0.012083,0.177291,0.224917,0.023708,0
144,0.074417,0.213667,0.206000,0.032041,0
145,0.018541,1.522792,1.480958,0.031917,0
146,0.013291,0.148458,0.117625,0.031166,0
147,0.019209,0.181333,0.148833,0.031083,0
148,0.012709,0.142167,0.111875,0.064500,0
149,0.026458,0.160542,0.142625,0.032458,0
150,0.018625,0.147625,0.113667,0.031667,0
151,0.012542,0.145292,0.113875,0.030875,0
152,0.012834,0.140875,0.109667,0.030750,0
153,0.012416,0.144583,0.114167,0.029708,0
154,0.011917,0.142291,0.113125,0.031166,0
155,0.011916,0.162625,0.130708,0.032166,0
156,0.011667,0.142584,0.112791,0.030959,0
157,0.019208,0.138792,0.106916,0.031459,0
158,0.011792,0.142291,0.111791,0.030625,0
159,0.011625,0.140083,0.111000,0.031209,0
160,0.012584,0.139875,0.108167,0.031000,0
161,0.012250,0.143375,0.112792,0.031167,0
162,0.012833,0.142666,0.110667,0.031167,0
163,0.013000,0.142958,0.112625,0.030917,0
164,0.011875,0.140875,0.109958,0.031458,0
165,0.012042,0.203750,0.177917,0.032750,0
166,0.016083,0.172083,0.145834,0.030459,0
167,0.012167,0.140542,0.110042,0.029083,0
168,0.017833,0.141708,0.110709,0.029958,0
169,0.012708,0.142167,0.112416,0.031083,0
170,0.011833,0.142792,0.112000,0.031333,0
171,0.012417,0.140458,0.111583,0.031333,0
172,0.019083,0.141625,0.110042,0.031292,0
173,0.011917,0.142792,0.113417,0.031875,0
174,0.024583,0.149417,0.131458,0.041958,0
175,0.017708,0.148250,0.121292,0.032208,0
176,0.011791,0.146125,0.115709,0.031208,0
177,0.012292,0.143875,0.113917,0.031583,0
178,0.012000,0.145500,0.116000,0.031625,0
179,0.012208,0.147208,0.117250,0.031167,0
180,0.011708,0.144542,0.114625,0.030917,0
181,0.011666,0.143833,0.113666,0.030625,0
182,0.012834,0.144208,0.112542,0.031667,0
183,0.012250,0.144333,0.112834,0.030625,0
184,0.011750,0.184875,0.168417,0.032375,0
185,0.028500,0.203000,1.730458,0.022167,0
186,0.086750,0.224333,0.208500,0.032959,0
187,0.024125,0.161833,0.132167,0.030333,0
188,0.012792,0.158125,0.127750,0.030041,0
189,0.012917,0.153834,0.122792,0.031583,0
190,0.012833,0.155208,0.123917,0.099416,0
191,0.013166,0.180042,0.150542,0.032583,0
192,0.011875,0.156375,0.127417,0.029959,0
193,0.012792,0.155375,0.123500,0.030166,0
194,0.011917,0.155041,0.124750,0.032125,0
195,0.012458,0.154708,0.124250,0.031084,0
196,0.011542,0.153959,0.124583,0.030375,0
197,0.062292,0.155083,0.129417,0.031291,0
198,0.011708,0.157959,0.128209,0.031458,0
199,0.012375,0.179875,0.149792,0.032500,0
200,0.012542,0.154917,0.123958,0.031083,0
201,0.011792,0.154792,0.125333,0.030708,0
202,0.011959,0.150750,0.120500,0.030791,0
203,0.022584,0.150458,0.118375,0.031166,0
204,0.012625,0.149292,0.119167,0.031667,0
205,0.012042,0.151334,0.121542,0.031083,0
206,0.023125,0.148083,0.117709,0.030708,0
207,0.012000,0.149542,0.119416,0.030541,0
208,0.013042,0.148250,0.114625,0.030917,0
209,0.011666,0.155417,0.126375,0.031500,0
210,0.012958,0.150584,0.121250,0.031542,0
211,0.011625,0.149208,0.118375,0.030416,0
212,0.012416,0.146834,0.116375,0.031333,0
213,0.012458,0.148041,0.116208,0.030667,0
214,0.013167,0.146834,0.117208,0.030584,0
215,0.012125,0.147958,0.118000,0.031542,0
216,0.012250,0.147458,0.116333,0.030750,0
217,0.011709,0.148666,0.120250,0.030625,0
218,0.011667,0.148083,0.127042,0.042959,0
219,0.012333,0.151042,0.174333,0.017958,0
220,0.025875,0.554584,1.608959,0.017375,0
221,0.020291,1.984542,1.962709,0.030625,0
222,0.012167,0.151750,0.122417,0.031917,0
223,0.015625,0.149625,0.122708,0.030916,0
224,0.011250,0.147625,0.117667,0.031167,0
225,0.017125,0.148750,0.118834,0.032292,0
226,0.025166,0.144834,0.127542,0.031333,0
227,0.011125,0.146333,0.115708,0.031792,0
228,0.012458,0.147875,0.116458,0.031708,0
229,0.011625,0.145333,0.115167,0.031000,0
230,0.011500,0.145292,0.116208,0.108125,0
231,0.012500,0.150375,0.121333,0.031916,0
232,0.012667,0.147167,0.115292,0.031708,0
233,0.011750,0.144750,0.114333,0.031250,0
234,0.011542,0.146375,0.116042,0.031792,0
235,0.011292,0.146167,0.116458,0.031291,0
236,0.012416,0.147000,0.115875,0.031167,0
237,0.011416,0.146375,0.117459,0.031000,0
238,0.011291,0.146292,0.117958,0.031041,0
239,0.011166,0.149958,0.121584,0.031250,0
240,0.011375,0.147708,0.118292,0.031458,0
241,0.020583,0.146917,0.108834,0.027792,0
242,0.011583,0.147833,0.128209,0.026125,0
243,0.011750,0.147542,0.116084,0.030917,0
244,0.011333,0.147875,0.118584,0.031375,0
245,0.011042,0.156750,0.129416,0.031292,0
246,0.013000,0.150291,0.120792,0.032375,0
247,0.011708,0.148875,0.118750,0.031458,0
248,0.011625,0.149208,0.121083,0.030959,0
249,0.011916,0.147500,0.117458,0.062000,0
250,0.012666,0.152584,0.125125,0.030958,0
251,0.011333,0.144417,0.120208,0.041167,0
252,0.023250,0.212709,0.174125,0.031750,0
253,0.012334,0.166500,0.135542,0.031667,0
254,0.024083,0.149083,0.131708,0.030875,0
255,0.013333,0.156833,0.126500,0.030000,0
256,0.013000,0.154000,1.839375,0.020417,0
257,0.012541,0.156709,0.126958,0.031875,0
258,0.013000,0.153083,0.122958,0.031417,0
259,0.012000,0.150250,0.119459,0.031375,0
260,0.013208,0.147750,0.116166,0.031084,0
261,0.011833,0.147834,0.116792,0.030667,0
262,0.012667,0.146708,0.116958,0.029458,0
263,0.011625,0.149875,0.117833,0.031500,0
264,0.011875,0.144625,0.114208,0.031083,0
265,0.016667,0.146250,0.110125,0.029709,0
266,0.012667,0.145917,0.117542,0.030958,0
267,0.012125,0.197875,0.168583,0.032625,0
268,0.012167,0.150375,0.119875,0.031333,0
269,0.019416,0.146958,0.124875,0.031375,0
270,0.011625,0.149083,0.118625,0.032000,0
271,0.011542,0.146208,0.116250,0.030875,0
272,0.011958,0.143875,0.112667,0.031208,0
273,0.011459,0.145625,0.115125,0.030292,0
274,0.011667,0.143333,0.112709,0.030333,0
275,0.011792,0.144959,0.113750,0.031125,0
276,0.012959,0.141500,0.110584,0.047209,0
277,0.012208,0.147167,0.116583,0.031000,0
278,0.013083,0.146958,0.116125,0.031416,0
279,0.011708,0.148375,0.118750,0.032792,0
280,0.017750,0.185750,0.160208,0.032291,0
281,0.012083,0.148083,0.118084,0.037166,0
282,0.041208,0.148125,0.148750,0.031375,0
283,0.018250,0.154208,0.121792,0.030667,0
284,0.017625,0.146792,0.113125,0.031917,0
285,0.012708,0.146084,0.116042,0.031084,0
286,0.040208,0.145750,0.117542,0.030708,0
287,0.012125,0.143333,0.114500,0.032041,0
288,0.011917,0.142875,0.114667,0.030958,0
289,0.012417,0.142958,0.114334,0.031042,0
290,0.012750,0.142542,0.112459,0.032208,0
291,0.012333,0.142834,0.113000,0.032083,0
292,0.012042,0.144250,0.114667,0.030666,0
293,0.012625,0.141292,0.112833,0.031584,0
294,0.012541,0.140917,0.112291,0.031250,0
295,0.062458,0.207792,0.234750,0.031459,0
296,0.012875,0.148708,0.119750,0.030833,0
297,0.012125,0.141042,0.111792,0.032083,0
298,0.012541,0.144000,0.113542,0.030833,0
