iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
132,0.699000,5.950000,3.376000,0.013000,0
133,0.734000,5.033000,3.689000,0.007000,0
134,1.163000,6.367000,4.450000,0.009000,0
135,0.660000,6.043000,3.476000,0.009000,0
136,1.527000,5.995000,3.832000,0.005000,0
137,1.417000,5.729000,4.605000,0.007000,0
138,1.003000,5.687000,3.624000,0.008000,0
139,0.451000,6.225000,3.660000,0.011000,0
140,0.689000,5.906000,2.962000,0.009000,0
141,0.613000,5.725000,3.190000,0.009000,0
142,0.800000,5.521000,2.956000,0.011000,0
143,0.693000,5.089000,2.973000,0.008000,0
144,0.639000,5.723000,3.777000,0.006000,0
145,0.754000,5.081000,3.183000,0.008000,0
146,0.658000,5.749000,3.077000,0.006000,0
147,0.830000,5.226000,3.251000,0.007000,0
148,0.711000,5.051000,3.093000,0.007000,0
149,0.680000,4.833000,3.163000,0.008000,0
150,0.814000,5.281000,3.227000,0.010000,0
151,0.810000,5.426000,3.533000,0.008000,0
152,0.700000,5.137000,3.221000,0.009000,0
153,0.766000,5.299000,3.099000,0.007000,0
154,0.683000,5.231000,3.413000,0.006000,0
155,0.762000,5.033000,3.129000,0.007000,0
156,0.610000,5.288000,2.803000,0.034000,0
157,0.608000,5.929000,3.395000,0.011000,0
158,0.618000,5.145000,2.849000,0.008000,0
159,0.613000,4.991000,2.871000,0.009000,0
160,0.639000,5.041000,2.911000,0.009000,0
161,0.717000,5.418000,3.026000,0.007000,0
162,0.636000,5.236000,3.102000,0.007000,0
163,0.616000,5.655000,2.950000,0.017000,0
164,0.631000,4.836000,3.281000,0.013000,0
165,0.644000,5.185000,3.053000,0.009000,0
166,0.977000,4.893000,3.269000,0.006000,0
167,0.639000,5.380000,3.246000,0.008000,0
168,0.657000,5.022000,3.150000,0.008000,0
169,0.707000,6.268000,2.851000,0.009000,0
170,0.646000,5.026000,2.904000,0.008000,0
171,0.651000,4.885000,2.816000,0.012000,0
172,0.685000,4.722000,2.831000,0.010000,0
173,0.642000,4.822000,2.750000,0.009000,0
174,0.637000,4.597000,3.481000,0.009000,0
175,0.659000,4.835000,2.965000,0.007000,0
176,1.267000,4.770000,2.851000,0.009000,0
177,1.709000,4.883000,2.999000,0.011000,0
178,0.671000,4.642000,3.040000,0.009000,0
179,0.639000,5.060000,2.863000,0.009000,0
180,0.696000,4.741000,2.764000,0.006000,0
181,0.617000,5.060000,2.675000,0.007000,0
182,0.604000,4.694000,2.707000,0.008000,0
183,1.177000,4.800000,2.698000,0.011000,0
184,0.652000,4.621000,2.678000,0.008000,0
185,0.648000,4.832000,2.801000,0.009000,0
186,0.658000,4.628000,2.734000,0.007000,0
187,0.623000,4.350000,2.792000,0.010000,0
188,0.667000,5.537000,2.757000,0.009000,0
189,0.667000,4.415000,2.880000,0.009000,0
190,0.641000,4.568000,2.867000,0.007000,0
191,0.677000,4.641000,2.934000,0.009000,0
192,0.809000,4.767000,2.864000,0.008000,0
193,0.772000,4.519000,2.734000,0.008000,0
194,0.671000,5.246000,2.940000,0.008000,0
195,0.677000,5.418000,3.153000,0.009000,0
196,0.662000,4.786000,3.042000,0.008000,0
197,0.762000,5.119000,2.893000,0.008000,0
198,1.068000,4.779000,3.155000,0.008000,0
199,0.830000,5.068000,3.201000,0.007000,0
200,0.748000,6.916000,3.132000,0.027000,0
201,0.968000,5.679000,4.149000,0.009000,0
202,0.806000,4.848000,2.871000,0.008000,0
