iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,temps_render_ms,food_quantity
132,16.651,3.092,0.300,0.002,12.748,0
133,21.147,2.346,0.306,0.002,18.257,0
134,13.274,3.999,0.290,0.002,8.471,0
135,15.605,2.449,0.265,0.002,12.674,0
136,16.577,2.296,0.294,0.002,13.974,0
137,16.657,2.298,0.292,0.002,14.055,0
138,16.666,3.546,0.307,0.002,12.399,0
139,16.584,2.325,0.309,0.002,13.934,0
140,16.678,3.692,0.307,0.002,12.642,0
141,16.650,2.999,0.299,0.002,12.930,0
142,16.770,3.691,0.302,0.002,12.741,0
143,16.618,2.418,0.315,0.002,13.775,0
144,16.668,2.318,0.307,0.002,14.029,0
145,16.945,3.597,0.310,0.002,12.997,0
146,16.382,3.717,0.300,0.002,12.326,0
147,16.797,2.345,0.305,0.002,14.131,0
148,16.384,3.964,0.324,0.002,12.057,0
149,16.809,3.794,0.303,0.002,12.680,0
150,16.498,2.355,0.304,0.002,13.823,0
151,16.579,3.978,0.306,0.002,12.253,0
152,16.653,3.772,0.309,0.002,12.535,0
153,16.863,3.361,0.296,0.002,13.169,0
154,16.478,2.376,0.315,0.002,13.772,0
155,16.801,3.734,0.299,0.002,12.734,0
156,16.496,2.403,0.305,0.002,13.772,0
157,16.646,3.354,0.307,0.002,12.946,0
158,16.691,3.756,0.304,0.002,12.595,0
159,16.853,3.441,0.295,0.002,13.080,0
160,16.438,2.402,0.305,0.002,13.712,0
161,16.855,3.684,0.310,0.002,12.830,0
162,16.535,2.466,0.305,0.002,13.633,0
163,16.612,3.346,0.302,0.001,12.926,0
164,16.641,3.970,0.300,0.001,12.338,0
165,16.795,3.686,0.302,0.001,12.764,0
166,16.458,2.387,0.324,0.002,13.727,0
167,16.911,3.770,0.301,0.001,12.807,0
168,16.430,2.446,0.299,0.002,13.585,0
169,16.642,3.954,0.309,0.002,12.340,0
170,16.653,3.835,0.300,0.002,12.479,0
171,16.825,3.399,0.301,0.002,13.082,0
172,16.670,2.533,0.331,0.001,13.787,0
173,16.572,2.008,0.321,0.002,14.218,0
174,16.714,1.458,0.215,0.000,15.025,0
175,16.710,1.382,0.215,0.001,14.933,0
176,16.579,1.444,0.229,0.001,14.896,0
177,16.678,1.466,0.187,0.001,15.013,0
178,16.665,1.587,0.206,0.001,14.862,0
179,16.740,1.735,0.211,0.002,14.770,0
180,16.701,2.024,0.247,0.002,14.410,0
181,16.641,2.007,0.255,0.002,14.127,0
182,16.524,2.043,0.271,0.002,14.198,0
183,16.788,2.377,0.298,0.002,13.905,0
184,16.577,2.453,0.261,0.002,13.613,0
185,16.667,2.333,0.258,0.001,13.806,0
186,16.732,2.477,0.292,0.002,13.746,0
187,16.630,2.455,0.295,0.002,13.680,0
188,16.735,2.345,0.322,0.001,13.772,0
189,16.470,2.008,0.314,0.002,13.906,0
190,16.645,1.957,0.315,0.002,14.151,0
191,16.714,1.901,0.266,0.002,14.374,0
192,16.726,2.095,0.275,0.001,14.189,0
193,16.565,2.154,0.282,0.001,13.918,0
194,16.663,2.151,0.272,0.002,14.014,0
195,16.860,2.144,0.274,0.002,14.290,0
196,16.545,2.477,0.323,0.002,13.732,0
197,16.537,2.500,0.303,0.001,13.551,0
198,16.813,3.367,0.314,0.002,12.889,0
199,16.530,2.477,0.319,0.003,13.632,0
200,16.911,3.776,0.312,0.002,12.782,0
201,16.522,3.204,0.297,0.002,12.774,0
202,16.499,2.455,0.308,0.002,13.622,0
203,16.767,3.633,0.309,0.003,12.783,0
204,16.797,2.483,0.305,0.002,13.992,0
205,16.580,3.106,0.316,0.002,12.893,0
206,16.464,2.599,0.325,0.002,13.419,0
207,16.807,3.796,0.305,0.002,12.667,0
208,16.510,2.457,0.306,0.001,13.731,0
209,16.632,4.015,0.323,0.003,12.255,0
210,16.663,3.734,0.319,0.002,12.577,0
211,16.838,3.431,0.320,0.001,13.048,0
212,16.463,2.448,0.312,0.002,13.684,0
213,16.829,3.825,0.302,0.002,12.662,0
214,16.475,2.453,0.321,0.002,13.686,0
215,16.958,3.713,0.316,0.001,12.892,0
216,16.403,2.555,0.328,0.002,13.505,0
217,16.892,4.110,0.356,0.001,12.388,0
218,16.407,2.510,0.303,0.002,13.577,0
219,16.554,3.920,0.325,0.002,12.269,0
220,16.692,4.056,0.319,0.002,12.279,0
221,16.613,4.329,0.314,0.007,11.927,0
222,16.842,3.970,0.323,0.002,12.519,0
223,16.501,4.330,0.295,0.006,11.830,0
224,16.861,3.776,0.320,0.002,12.730,0
225,16.432,2.445,0.310,0.002,13.658,0
226,17.069,3.695,0.300,0.002,13.032,0
227,16.305,2.446,0.300,0.002,13.544,0
228,16.766,3.769,0.310,0.002,12.653,0
229,16.501,2.492,0.328,0.002,13.665,0
230,16.764,3.771,0.315,0.001,12.642,0
231,16.548,2.481,0.314,0.002,13.737,0
232,16.900,3.700,0.305,0.002,12.856,0
233,16.550,3.294,0.303,0.002,12.920,0
234,16.502,2.498,0.317,0.002,13.671,0
235,16.674,3.984,0.305,0.002,12.345,0
236,16.689,3.947,0.303,0.002,12.402,0
237,16.592,4.398,0.321,0.006,11.826,0
238,16.644,4.008,0.310,0.002,12.287,0
239,16.714,3.953,0.338,0.002,12.164,0
240,16.627,4.364,0.312,0.006,11.915,0
241,16.821,3.519,0.308,0.002,12.956,0
242,16.471,2.489,0.336,0.002,13.627,0
243,16.828,3.706,0.310,0.002,12.772,0
244,16.531,2.462,0.326,0.002,13.728,0
245,16.809,3.668,0.319,0.002,12.779,0
246,16.418,2.504,0.302,0.002,13.594,0
247,16.814,3.740,0.307,0.002,12.728,0
248,16.471,2.479,0.310,0.002,13.666,0
249,16.921,3.511,0.304,0.002,13.068,0
250,16.387,3.893,0.306,0.002,12.148,0
251,16.821,3.720,0.310,0.002,12.757,0
252,16.601,2.486,0.299,0.002,13.800,0
253,16.884,3.525,0.307,0.001,13.011,0
254,16.337,3.945,0.315,0.002,12.040,0
255,16.909,3.722,0.303,0.002,12.846,0
256,16.433,2.481,0.318,0.002,13.618,0
257,16.627,3.913,0.307,0.002,12.370,0
258,16.690,3.822,0.301,0.002,12.532,0
259,16.643,3.998,0.304,0.001,12.304,0
260,16.918,3.832,0.308,0.002,12.739,0
261,16.422,2.538,0.297,0.002,13.568,0
262,16.642,3.952,0.306,0.002,12.345,0
263,16.608,4.333,0.312,0.006,11.915,0
264,16.812,3.716,0.306,0.001,12.754,0
265,16.513,2.490,0.331,0.002,13.675,0
266,16.643,4.019,0.315,0.003,12.270,0
267,16.879,3.709,0.299,0.002,12.832,0
268,16.425,2.528,0.304,0.002,13.576,0
269,16.654,3.894,0.314,0.002,12.413,0
270,16.707,4.049,0.303,0.002,12.316,0
271,16.641,4.387,0.313,0.007,11.897,0
272,16.677,3.661,0.323,0.001,12.656,0
273,16.555,4.296,0.328,0.002,11.888,0
274,16.672,4.024,0.324,0.001,12.282,0
275,16.628,3.812,0.304,0.002,12.474,0
276,16.841,3.409,0.312,0.002,13.083,0
277,16.531,2.508,0.314,0.002,13.688,0
278,16.790,3.770,0.316,0.002,12.662,0
279,16.460,2.597,0.327,0.002,13.521,0
280,16.839,3.547,0.317,0.002,12.934,0
281,16.498,2.534,0.306,0.001,13.643,0
282,16.812,3.721,0.301,0.002,12.750,0
283,16.575,2.505,0.309,0.002,13.746,0
284,16.791,3.906,0.308,0.003,12.532,0
285,16.439,2.513,0.309,0.002,13.603,0
286,16.695,4.028,0.301,0.001,12.327,0
287,16.583,3.940,0.309,0.002,12.293,0
288,16.847,3.581,0.311,0.002,12.922,0
289,16.480,2.510,0.307,0.002,13.647,0
290,16.891,3.698,0.308,0.002,12.847,0
291,16.435,2.521,0.315,0.001,13.585,0
292,16.811,3.814,0.302,0.002,12.656,0
293,16.660,2.550,0.315,0.002,13.781,0
294,16.791,2.525,0.298,0.002,13.955,0
295,16.588,3.371,0.294,0.002,12.886,0
296,16.431,2.507,0.292,0.002,13.619,0
297,16.809,3.747,0.303,0.002,12.721,0
298,16.737,2.575,0.337,0.002,13.809,0
299,16.482,2.482,0.297,0.002,13.690,0
300,16.588,3.993,0.304,0.001,12.250,0
301,16.759,4.045,0.326,0.002,12.359,0
302,16.800,3.789,0.318,0.002,12.653,0
303,16.374,3.914,0.308,0.002,12.116,0
304,16.651,3.928,0.320,0.001,12.367,0
305,16.644,3.673,0.306,0.002,12.626,0
306,16.821,3.473,0.315,0.003,12.998,0
307,16.516,2.565,0.312,0.002,13.622,0
308,16.904,3.731,0.306,0.002,12.828,0
309,16.576,3.330,0.297,0.002,12.914,0
310,16.515,2.532,0.318,0.002,13.646,0
311,16.759,3.835,0.300,0.002,12.584,0
312,16.846,2.546,0.340,0.002,13.945,0
313,16.471,3.885,0.299,0.002,12.255,0
314,16.576,2.544,0.322,0.002,13.695,0
315,16.607,3.091,0.281,0.001,13.193,0
316,16.816,2.075,0.264,0.001,14.455,0
317,16.668,1.978,0.307,0.002,14.366,0
318,16.629,1.900,0.270,0.001,14.448,0
319,16.667,1.923,0.237,0.001,14.497,0
320,16.641,2.136,0.262,0.001,14.232,0
321,16.670,2.180,0.249,0.002,14.230,0
322,16.674,2.495,0.318,0.002,13.849,0
323,16.791,2.636,0.302,0.002,13.831,0
324,16.425,3.830,0.322,0.002,12.235,0
325,16.798,3.482,0.319,0.002,12.371,0
326,16.589,2.548,0.304,0.002,13.715,0
327,16.649,3.754,0.306,0.002,12.548,0
328,16.473,2.671,0.325,0.002,13.457,0
329,16.841,3.724,0.303,0.002,12.774,0
330,16.641,2.641,0.301,0.001,13.684,0
331,16.491,2.569,0.295,0.002,13.613,0
332,16.649,3.919,0.311,0.002,12.382,0
333,16.843,3.748,0.309,0.002,12.750,0
334,16.633,2.560,0.309,0.002,13.747,0
335,16.544,2.561,0.295,0.001,13.676,0
336,16.769,3.674,0.305,0.005,12.747,0
337,16.638,2.629,0.294,0.001,13.700,0
338,16.686,2.591,0.296,0.001,13.786,0
339,16.520,2.578,0.294,0.002,13.635,0
340,16.849,3.940,0.303,0.003,12.565,0
341,16.748,2.504,0.296,0.001,13.933,0
342,16.743,3.621,0.300,0.002,12.776,0
343,16.551,2.539,0.292,0.002,13.701,0
344,16.653,3.897,0.314,0.001,12.399,0
345,16.961,3.537,0.301,0.002,13.078,0
346,16.323,3.846,0.301,0.002,12.129,0
347,16.657,3.806,0.301,0.002,12.508,0
348,16.812,3.762,0.309,0.002,12.696,0
349,16.611,2.534,0.306,0.002,13.750,0
350,16.415,3.904,0.305,0.002,12.159,0
351,16.588,4.294,0.304,0.006,11.945,0
352,16.788,3.503,0.296,0.001,12.950,0
353,16.494,2.544,0.320,0.002,13.611,0
