iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,food_quantity
132,1.0940,0.9950,0.0980,0.0010,0
133,1.1570,1.0590,0.0970,0.0010,0
134,1.0630,0.9640,0.0980,0.0010,0
135,1.0500,0.9520,0.0980,0.0000,0
136,1.0640,0.9670,0.0970,0.0000,0
137,1.0440,0.9450,0.0990,0.0000,0
138,1.0720,0.9740,0.0970,0.0010,0
139,1.0510,0.9530,0.0970,0.0010,0
140,1.1190,1.0110,0.1070,0.0010,0
141,1.0560,0.9590,0.0960,0.0010,0
142,1.0670,0.9640,0.1030,0.0000,0
143,1.0520,0.9490,0.1020,0.0010,0
144,1.0750,0.9720,0.1020,0.0010,0
145,1.0550,0.9570,0.0980,0.0000,0
146,1.0370,0.9390,0.0970,0.0010,0
147,1.0450,0.9470,0.0980,0.0000,0
148,1.1140,1.0160,0.0980,0.0000,0
149,1.0630,0.9640,0.0980,0.0010,0
150,1.0420,0.9410,0.1000,0.0010,0
151,1.0510,0.9540,0.0970,0.0000,0
152,1.0340,0.9370,0.0970,0.0000,0
153,1.0680,0.9700,0.0970,0.0010,0
154,1.0410,0.9430,0.0980,0.0000,0
155,1.0540,0.9540,0.0990,0.0010,0
156,1.2190,1.1160,0.1020,0.0010,0
157,1.0800,0.9730,0.1060,0.0010,0
158,1.0450,0.9480,0.0960,0.0010,0
159,1.0410,0.9440,0.0970,0.0000,0
160,1.0680,0.9710,0.0960,0.0010,0
161,1.0600,0.9630,0.0970,0.0000,0
162,1.0760,0.9790,0.0970,0.0000,0
163,1.1020,1.0050,0.0960,0.0010,0
164,1.0560,0.9470,0.1090,0.0000,0
165,1.0490,0.9490,0.0990,0.0010,0
166,1.0410,0.9440,0.0970,0.0000,0
167,1.0350,0.9390,0.0960,0.0000,0
168,1.0460,0.9490,0.0970,0.0000,0
169,1.0480,0.9510,0.0970,0.0000,0
170,1.0450,0.9470,0.0970,0.0010,0
171,1.0890,0.9910,0.0970,0.0010,0
172,1.0540,0.9560,0.0970,0.0010,0
173,1.0540,0.9570,0.0970,0.0000,0
174,1.0400,0.9430,0.0960,0.0010,0
