iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,temps_render_ms,food_quantity
132,33.089,2.587,0.503,0.006,29.985,0
133,32.546,1.915,0.511,0.006,30.108,0
134,33.741,2.146,0.883,0.007,30.698,0
135,32.075,2.457,0.776,0.007,28.822,0
136,34.905,1.790,0.521,0.010,32.551,0
137,33.746,2.575,0.656,0.008,30.497,0
138,33.230,2.461,0.567,0.007,30.188,0
139,35.689,2.416,0.569,0.007,32.672,0
140,32.157,2.671,1.066,0.009,28.402,0
141,30.942,3.562,0.609,0.007,26.755,0
142,33.743,2.222,0.998,0.016,30.499,0
143,33.565,2.133,0.888,0.013,30.524,0
144,34.804,2.361,0.967,0.015,31.453,0
145,32.847,3.386,0.705,0.008,28.738,0
146,33.643,2.823,0.724,0.009,30.078,0
147,34.055,2.619,1.040,0.019,30.366,0
148,33.367,2.899,1.195,0.009,29.254,0
149,32.542,3.004,0.972,0.008,28.547,0
150,31.647,2.883,0.700,0.009,28.044,0
151,33.929,2.365,0.506,0.007,31.045,0
152,35.217,2.463,0.685,0.013,32.048,0
153,32.677,2.553,0.879,0.017,29.219,0
154,31.389,3.225,0.741,0.007,27.408,0
155,33.483,1.921,0.547,0.006,31.003,0
156,33.697,2.255,0.574,0.014,30.845,0
157,32.625,2.381,0.655,0.015,29.565,0
158,33.387,2.434,0.513,0.007,30.426,0
159,34.617,2.201,0.557,0.007,31.846,0
160,33.265,2.798,0.713,0.011,29.734,0
161,32.960,2.633,0.672,0.008,29.638,0
162,35.199,2.479,0.617,0.008,32.086,0
163,31.742,2.714,0.614,0.007,28.397,0
164,34.719,2.674,0.652,0.009,31.374,0
165,31.121,3.046,1.018,0.011,27.035,0
166,33.103,2.288,0.539,0.006,30.262,0
167,34.638,2.298,0.571,0.014,31.586,0
168,33.046,2.480,0.640,0.008,29.909,0
169,31.944,2.513,0.701,0.017,28.703,0
170,34.374,2.042,0.537,0.006,31.780,0
171,32.904,2.342,0.659,0.007,29.886,0
172,34.419,2.394,0.559,0.007,31.451,0
173,32.737,2.656,0.662,0.009,29.401,0
174,32.538,2.595,0.731,0.018,29.185,0
175,32.405,2.311,0.584,0.015,29.488,0
176,33.940,2.041,0.510,0.008,31.373,0
177,33.527,2.410,0.537,0.007,30.566,0
178,32.863,2.338,0.558,0.007,29.952,0
179,33.827,2.057,0.644,0.008,31.110,0
180,33.971,2.202,0.530,0.007,31.224,0
181,32.672,2.412,0.657,0.016,29.569,0
182,33.096,2.346,0.525,0.009,30.203,0
183,34.007,2.225,0.524,0.007,31.242,0
184,33.771,2.390,0.664,0.016,30.691,0
185,32.037,2.352,0.652,0.016,29.008,0
186,33.652,2.389,0.523,0.007,30.725,0
187,33.398,2.363,0.586,0.008,30.433,0
188,33.863,2.236,0.558,0.012,31.049,0
